序号,职位标题,类型,薪资范围,预算,经验等级,项目时长,技能标签,描述摘要,发布时间,客户位置,支付验证,客户评分,客户花费,提案数,职位链接
1,"Senior Full-Stack Developer (Next.js, Supabase, Stripe, E-Commerce) — MVP Storybook Platform",Hourly,未公开,-,Expert,"Less than 1 month, 30+ hrs/week","Database Development, Ecommerce Website, Software Debugging, Web Development, Web Application, API, API Integration, Stripe, CMS Development","Building Story We Made, a personalized storybook platform for families. Tech stack: Next.js, TypeScript, Supabase, Stripe, PostHog, Vercel. Need experienced developer for MVP.",11 minutes ago,United States,Verified,0 out of 5,$200 spent,Less than 5,https://www.upwork.com/jobs/Senior-Full-Stack-Developer-Next-Supabase-Stripe-Commerce-MVP-Storybook-Platform_~022063785756429116046/
2,Looking for a developer to complete design and backend integration for a tour platform in Lovable.,Fixed-price,-,"$1,500",Intermediate,-,"React, TypeScript, Node.js, Supabase, Stripe API, API Integration, Web Design, Web Development",Concierge platform for tourists visiting Curaçao. Frontend built in Lovable (React/Tailwind). Need backend integration.,yesterday,Curacao,Verified,0 out of 5,$0 spent,20 to 50,https://www.upwork.com/jobs/Looking-for-developer-complete-design-and-backend-integration-for-tour-platform-Lovable_~022063484604972614186/
3,Fix github actions automatic testing for cms sveltekit project,Fixed-price,-,$50,Expert,-,"GitHub, sveltekit, JavaScript, CMS Development",Svelte CMS project hosted at GitHub. Need fix for github actions automatic testing.,20 minutes ago,Germany,Verified,4.8 out of 5,$10K+ spent,Fewer than 5,https://www.upwork.com/jobs/Fix-github-actions-automatic-testing-for-cms-sveltekit-project_~022063783467766304198/
4,Need a quick React / Next.js Fix Landing Page Error,Fixed-price,-,$225,Intermediate,-,"Web Application, JavaScript, Front-End Development, React, API, PHP, Full-Stack Development",Landing page changes broke the site. Need quick fix for React/Next.js landing page error.,41 minutes ago,South Korea,Verified,5.0 out of 5,$2K+ spent,20 to 50,https://www.upwork.com/jobs/Need-quick-React-Next-Fix-Landing-Page-Error_~022063778185467637856/
5,Frontend Developer for Web Application,Hourly,未公开,-,Expert,"Less than 1 month, Less than 30 hrs/week","JavaScript, HTML5, CSS 3, CSS",Seeking skilled frontend developer to enhance web application.,1 hour ago,Saudi Arabia,Unverified,0 out of 5,$0 spent,20 to 50,https://www.upwork.com/jobs/Frontend-Developer-for-Web-Application_~022063759610384199776/
6,Ui ux designer and dev for our website,Hourly: $55-$75,$55-$75/hr,-,Intermediate,"Less than 1 month, not_sure","Web Design, Wireframing, Responsive Design, Prototyping",Small company looking to redesign website and improve user experience.,2 hours ago,USA,Verified,4.5 out of 5,$90K+ spent,10 to 15,https://www.upwork.com/jobs/designer-and-dev-for-our-website_~022063749964212814378/
7,Website Design,Hourly,未公开,-,Intermediate,"Less than 1 week, Less than 30 hrs/week","Payment Gateway Integration, JavaScript, React, Next.js, Redux, API Integration, Tailwind CSS, CSS",Building multi-island regional marketplace platform for Caribbean. Platform connects island businesses.,3 hours ago,United States,Verified,0 out of 5,$0 spent,Fewer than 5,https://www.upwork.com/jobs/Website-Design_~022063736738643398337/
8,Claude Code Web Application,Fixed-price,-,$200,Expert,-,"JavaScript, HTML, CSS, Web Development, Node.js",Developing new web-based application. Looking for experienced full-stack developer.,4 hours ago,Mexico,Unverified,0 out of 5,$0 spent,Fewer than 5,https://www.upwork.com/jobs/Claude-Code-Web-Application_~022063720264400848572/
9,Premium Framer Developer for Luxury Landing Page with Interactive Quiz & Smart Video Routing,Hourly,未公开,-,Expert,"Less than 1 month, Less than 30 hrs/week","Front-End Development, Web Design, Framer, Game UI/UX Design, Typography, Interaction Design",Framer Expert needed for high-end cinematic landing page for OASA. Design already defined.,5 hours ago,Belgium,Unverified,0 out of 5,$0 spent,20 to 50,https://www.upwork.com/jobs/Premium-Framer-Developer-for-Luxury-Landing-Page-with-Interactive-Quiz-Smart-Video-Routing_~022063711607350354574/
10,Senior Full-Stack / AI Engineer,Hourly,未公开,-,Expert,"3 to 6 months, Less than 30 hrs/week","TypeScript, Vercel, React, Node.js, API, Artificial Intelligence, Database Architecture, Chatbot Development",Early-stage startup building AI-native product from scratch. Senior Full-Stack/AI Engineer needed.,5 hours ago,United States,Verified,0 out of 5,$0 spent,20 to 50,https://www.upwork.com/jobs/Senior-Full-Stack-Engineer_~022063704098010445386/
11,Front-End Developer / UI-UX Modernization Consultant for SaaS Platform,Hourly: $15-$22,$15-$22/hr,-,Intermediate,"3 to 6 months, Hours to be determined","Next.js, Angular, Landing Page, Website Redesign, Front-End Development, AngularJS, React, Web Design",Seeking Front-End Developer and UI/UX Consultant to review existing SaaS platform and modernize.,8 hours ago,United States,Verified,5.0 out of 5,$50K+ spent,20 to 50,https://www.upwork.com/jobs/Front-End-Developer-Modernization-Consultant-for-SaaS-Platform_~022063665599030051370/
12,"Next.js + Supabase developer — interactive self-knowledge web app (40-day program, full spec ready)",Fixed-price,-,"$3,000",Expert,-,"JavaScript, Node.js, React, Web Application, API","Build Origen Digital — flagship product of Cima. Interactive self-knowledge web app, 40-day program, full spec ready.",8 hours ago,Colombia,Unverified,0 out of 5,$0 spent,10 to 15,https://www.upwork.com/jobs/Next-Supabase-developer-interactive-self-knowledge-web-app-Day-program-full-spec-ready_~022063657512213204422/
13,"Developer needed for FashionTech MVP - Next.js, AI Workflows, Designer Dashboard & 3D Integration",Hourly,未公开,-,Intermediate,"Less than 1 week, Less than 30 hrs/week","Full-Stack Development, Machine Learning, React, Node.js, Python, PyTorch, TensorFlow, NLP","Senior full-stack developer for FashionTech MVP. AI Workflows, Designer Dashboard & 3D Integration.",8 hours ago,United Kingdom,Unverified,0 out of 5,$0 spent,20 to 50,https://www.upwork.com/jobs/Developer-needed-for-FashionTech-MVP-Next-Workflows-Designer-Dashboard-Integration_~022063655845466355274/
14,"Build a Custom, Low-Bias Cognitive Screening Web App (Next.js + Firebase Stack)",Fixed-price,-,$100,Entry level,-,"TypeScript, Google Cloud Platform, Node.js, CloudSQL, Firebase","Lightweight, secure cognitive screening web app. Next.js + Firebase Stack.",yesterday,United States,Verified,5.0 out of 5,$300K+ spent,50+,https://www.upwork.com/jobs/Build-Custom-Low-Bias-Cognitive-Screening-Web-App-Next-Firebase-Stack_~022063648540097466049/
15,Full-Stack Developer — NIL Sports Platform (Supabase + Stripe Connect),Fixed-price,-,"$8,000",Expert,-,"Vercel, Supabase, JavaScript, Web Development, Stripe, Resend, Vanilla JS frontend, Printful API",Orion - NIL fan investment platform for college athletes. Frontend fully built. Need backend.,yesterday,United States,Unverified,0 out of 5,$0 spent,20 to 50,https://www.upwork.com/jobs/Full-Stack-Developer-NIL-Sports-Platform-Supabase-Stripe-Connect-Type_~022063639801848450502/
16,Full Stack Developer Needed for Modern Software Consultancy Website (End-to-End Development),Hourly: $10-$43,$10-$43/hr,-,Intermediate,"More than 6 months, 30+ hrs/week","Web Development, JavaScript, node",Experienced Full Stack Developer to build modern software consultancy company website.,yesterday,Portugal,Verified,5.0 out of 5,$12 spent,20 to 50,https://www.upwork.com/jobs/Full-Stack-Developer-Needed-for-Modern-Software-Consultancy-Website-End-End-Development_~022063607090131455681/
17,Portfolio website,Hourly,未公开,-,Intermediate,"Less than 1 week, Less than 30 hrs/week","Webflow, Mobile App Design, Figma, Landing Page, User Interface Design, Web Design, User Experience Design",Front-end developer to convert Figma portfolio design into functional website.,yesterday,Israel,Unverified,0 out of 5,$0 spent,15 to 20,https://www.upwork.com/jobs/Portfolio-website_~022063600172821635726/
